Document,comment,stemming_str,sentiment,tfidf
ulasan 1530,"Jgnkan hacker. Hp ku saja yg kemalingan 20unit lebih sampai skrng gsk di dapat pelakuny. Padahal smua hp IMEI ny ada sy catat. Tapi gak bisa di lacak.
Dari 20hp + hanya 4 yg di dpat itupun nanti sy yg ciduk sndiri di info jual beli.. minta pendamping polisi buat temani tdk ada yg ready di kantor. Kacau emang negri ini",jgnkan hacker hp ku maling unit gsk pelakuny hp imei nya catat lacak hp dpat itu ciduk info jual beli damping polisi teman ready kantor kacau negeri,netral,hp:0.4503; gsk:0.2323; pelakuny:0.2323; imei:0.2323; ready:0.2323; dpat:0.2218; damping:0.2218; jgnkan:0.2144; unit:0.2144; itu:0.2039
ulasan 1531,"Yang ada didepan mata aja Ndak ditangkap,sok2an nangkap bjorka 😅😅 konyol",depan mata indak ditangkapsokan nangkap bjorka konyol,negatif,ditangkapsokan:0.5036; indak:0.4330; depan:0.4176; konyol:0.4132; mata:0.3561; nangkap:0.2537; bjorka:0.1504
ulasan 1532,"Entar jangan jangan orang biasanya nyari nyari sumbangan pakai map di tangkap dibilangnya bandar judol 😂😂😂😂😂 ,, maklum lah mau akhir taun buat sarana naikin jabatan 😂😂😂",entar orang cari cari sumbang pakai map tangkap bilang bandar judol maklum sarana naikin jabat,negatif,sumbang:0.3612; sarana:0.3612; cari:0.3611; naikin:0.3334; map:0.3244; maklum:0.2965; entar:0.2752; bandar:0.2166; jabat:0.2069; bilang:0.2012
ulasan 1533,"Mana biorka muncul dong, kalau bukan lo yang ditangkap",biorka muncul lo tangkap,negatif,biorka:0.5835; lo:0.5522; muncul:0.5152; tangkap:0.2987
ulasan 1534,Tidak ada sistem yang aman.,sistem aman,negatif,sistem:0.7348; aman:0.6783
ulasan 1535,Pada intinya negara ti tidak mau rakyat nya Piter..pengennya pinter tpi bisa di atur sesuai kepentingan..ujung ujung rakyat harus bodoh..😅,inti negara ti rakyat nya piterpengennya pintar atur sesuai kepentinganujung ujung rakyat bodoh,netral,rakyat:0.3960; piterpengennya:0.3750; kepentinganujung:0.3750; ti:0.3581; atur:0.2811; ujung:0.2789; sesuai:0.2664; inti:0.2556; bodoh:0.2190; pintar:0.1986
ulasan 1536,Hacker kelas atas ga mungkin ketangkep sama ecek ecek😂😂,hacker kelas ketangkep ecek ecek,negatif,ecek:0.8947; ketangkep:0.2883; kelas:0.2829; hacker:0.1907
ulasan 1537,Dedi terlihat bego di depan orang ini,dedi bego orang,netral,bego:0.6797; dedi:0.6466; orang:0.3464
ulasan 1538,curiga abang ini yang dulu bikin cheat point blank pekalongan,curiga abang bikin cheat point blank kalong,positif,blank:0.4582; point:0.4135; curiga:0.3855; kalong:0.3824; cheat:0.3716; abang:0.3416; bikin:0.2636
ulasan 1539,"tapi bener sih, awal gw main game suka banget pake cheat, akhirnya tengelam ingin buat cheat dan akhir cuman bisa bikin flashdis killer, dan ga bisa lanjut karna PC sendiri rusak",sih gue main game suka banget pakai cheat tengelam cheat cuman bikin flashdis killer pc rusak,positif,cheat:0.4788; tengelam:0.3288; flashdis:0.3288; killer:0.3288; pc:0.2952; rusak:0.2664; game:0.2251; cuman:0.2068; suka:0.2049; main:0.1899
ulasan 1540,Salah nangkep bjorka malah nangkep bjirka😂😂😂😂,salah nangkep bjorka nangkep bjirka,negatif,nangkep:0.7078; bjirka:0.5578; salah:0.3644; bjorka:0.2346
ulasan 1541,maklumin aja lah ke banyak kerja terlalu santai jadi kaya gini kerja gk becuss😂😂😂,maklumin kerja santai kayak kerja becuss,positif,maklumin:0.5171; becuss:0.5171; kerja:0.4730; santai:0.4305; kayak:0.2371
ulasan 1542,Plot twist bjorka nya yang lagi podcastt auuuuuuuuu😂😂😂😂,plot twist bjorka nya podcastt auuuuuuuuu,netral,podcastt:0.5602; auuuuuuuuu:0.5602; twist:0.4002; plot:0.3782; nya:0.2088; bjorka:0.1598
ulasan 1543,Nangkap maling motor aja GK bisa nangkap byorka,nangkap maling motor nangkap byorka,netral,nangkap:0.6780; motor:0.4449; byorka:0.4195; maling:0.4080
ulasan 1544,Coba yg hpnya siomi custom rom dan root absen☠️,coba hpnya siomi custom rom root absen,negatif,siomi:0.4120; custom:0.4120; rom:0.4120; absen:0.3934; hpnya:0.3802; root:0.3699; coba:0.2340
ulasan 1545,"Harusnya ank ank cerdas seperti ini
Direspon positif oleh pemerintah
Beri lapangan pekerjaan",anak anak cerdas direspon positif perintah lapang kerja,positif,direspon:0.4955; anak:0.4483; lapang:0.4190; positif:0.4014; cerdas:0.3346; perintah:0.2314; kerja:0.2266
ulasan 1546,"Keren ya , jika digunakan untuk halhal positif",keren ya halhal positif,positif,halhal:0.6516; positif:0.5529; keren:0.4364; ya:0.2817
ulasan 1547,"Dulu waktu gue SMA, bisa ubah semua tampilan-tampilan windows aja udah merasa jadi hacker🤣",gue ubah tampilantampilan windows hacker,netral,tampilantampilan:0.6130; windows:0.5380; ubah:0.4559; gue:0.2727; hacker:0.2294
ulasan 1548,"Pendapat saya 
Bjorka itu adalah suatu komunitas punya instansi sendiri 😅😅😅",dapat bjorka komunitas instansi,negatif,dapat:0.6714; komunitas:0.5292; instansi:0.4668; bjorka:0.2264
ulasan 1549,buat yg pengin tau bjorka itu seorang wanita di bermain solo alias sendiri.gk berkelompok.,pengin tau bjorka wanita main solo alias sendirigk kelompok,negatif,sendirigk:0.4607; wanita:0.4399; solo:0.3964; alias:0.3574; kelompok:0.3125; pengin:0.2863; main:0.2661; tau:0.2044; bjorka:0.1314
ulasan 1550,"Polisi itu tidak berguna...mentang2 berseragam arogan lah kasus nya bnyk suka nya pungli ya nyusahin rakyat...
Iblis berseragam yg model pungli nyusahin rakyat 
Ini ngaku nya nangkep bjorka 😅udah di benci ehh Mlah mau nipu rakyat nangkap bjorka...yg ada perilaku polisi mau d bongkar bjorka ....bubar aja loh pada2😂",polisi bergunamentang seragam arogan nya suka nya pungli ya susah rakyat iblis seragam model pungli susah rakyat aku nya nangkep bjorka benci eh nipu rakyat nangkap bjorkayg perilaku polisi bongkar bjorka bubar loh,positif,pungli:0.3997; rakyat:0.3429; seragam:0.3133; susah:0.2535; nya:0.2422; bergunamentang:0.2165; iblis:0.2165; bjorkayg:0.2165; perilaku:0.2068; arogan:0.1863
ulasan 1551,bener juga sih kata bang teguh😂.. ada masanya retas website terus pampang nama alias..,sih bang teguh masa retas website pampang nama alias,negatif,masa:0.4730; pampang:0.4365; alias:0.3669; website:0.3422; retas:0.3322; teguh:0.2615; nama:0.2453; bang:0.2394; sih:0.1942
ulasan 1552,"Semoga pemerintah di era apapun focus  memanfaatkan,dan  mengoptimalkan  talenta-2 potensial  dalam negeri agar NKRI maju dan sejahtera.Banyak fakta talenta anak negeri diabaikan negara akhirnya terlantar bahkan dimanfaatkan pihak lain.
Contoh,th 1980,3 anak ITS berhasil merancang mobil listrik dan sukses ujuicoba dari Surabaya ke Jakarta,  eeee  setelahnya diabaikan,akhirnya tenggelam.Sekarang motor listrik dari China membanjiri Indo.bgt pula mobilnya.Itu akibat karakter politisi yg tidak bener,ingat juga bgmn IPTN disia-siakan.",moga perintah era apa focus memanfaatkandan optimal talenta potensial negeri nkri maju sejahterabanyak fakta talenta anak negeri abai negara lantar manfaat contohth anak its hasil rancang mobil listrik sukses ujuicoba surabaya jakarta eeee telah diabaikanakhirnya tenggelamsekarang motor listrik china banjir indobgt mobilnyaitu akibat karakter politis beneringat iptn disiasiakan,positif,listrik:0.2790; talenta:0.2736; negeri:0.1958; focus:0.1590; memanfaatkandan:0.1590; potensial:0.1590; sejahterabanyak:0.1590; lantar:0.1590; contohth:0.1590; rancang:0.1590
ulasan 1553,Dia adlah yg asli ituuu itu yg kalian tonton skrng,adlah asli tonton,netral,adlah:0.7922; tonton:0.4421; asli:0.4208
ulasan 1554,Polisi kerjanya koleksi istri sirih pelihara para gundiknya dan nangkap istrinya orang,polisi kerja koleksi istri sirih pelihara gundik nangkap istri orang,positif,istri:0.6490; sirih:0.3771; gundik:0.3771; koleksi:0.3600; pelihara:0.2620; nangkap:0.1813; kerja:0.1725; orang:0.1419; polisi:0.1159
ulasan 1555,"Bjiorka lu tangkep (walaupun kw), Bjiorwi kapan?",bjiorka lu tangkap kau bjiorwi,negatif,bjiorwi:0.6152; bjiorka:0.5202; kau:0.4345; lu:0.3348; tangkap:0.2237
ulasan 1556,hahaha,hahaha,netral,hahaha:1.0000
ulasan 1557,Hacker pun mampu memanipulasi,hacker manipulasi,netral,manipulasi:0.9145; hacker:0.4046
ulasan 1558,Hacker itu bisa berkelompok. Bahkan bisa berbaur dan tidak terlihat 😂😂,hacker kelompok baur,negatif,baur:0.7905; kelompok:0.5362; hacker:0.2958
ulasan 1559,"Orng in yg gue tunggu om, lu undang lagi, akhirnya bisa juga, terimah ksih om, panutan gue in",orang gue tunggu om lu undang terimah kasih om panutan gue,positif,terimah:0.4477; panutan:0.4132; gue:0.3984; om:0.3795; tunggu:0.3282; kasih:0.2620; undang:0.2489; lu:0.2437; orang:0.1684
ulasan 1560,Polisi kena buly cook..,polisi kena buly cook,negatif,cook:0.6535; buly:0.6240; kena:0.3783; polisi:0.2010
ulasan 1561,46:16 siapa tuh yang katanya bodoh? Fufufafa ya 🤣🤣,tuh bodoh fufufafa ya,positif,bodoh:0.5554; fufufafa:0.5298; tuh:0.5067; ya:0.3926
ulasan 1562,Basmi Judol aj g becus eh berlagak nangkap hackers... Cream crakers kali yg di tangkap😂😂😂,basmi judol becus eh lagak nangkap hackers cream crakers kali tangkap,negatif,cream:0.4048; crakers:0.4048; lagak:0.3866; basmi:0.3484; hackers:0.3205; becus:0.2893; eh:0.2539; kali:0.2239; judol:0.2021; nangkap:0.1947
ulasan 1563,Saya yakin 99% kasus bjorka ini sebagai pengalihan isu,bjorka alih isu,negatif,isu:0.6668; alih:0.6563; bjorka:0.3530
ulasan 1564,Hacker byorka menurut sy alumni anak2 grup di app nimbuzz and Ym sebelum ada android...karna saya dulu anggota diaana,hacker byorka alumni anak grup app nimbuzz and ym androidkarna anggota diaana,negatif,nimbuzz:0.3568; ym:0.3568; androidkarna:0.3568; diaana:0.3568; alumni:0.3071; app:0.2891; and:0.2891; grup:0.2795; anggota:0.2493; byorka:0.2123
ulasan 1565,"😮😮 Menurut saya jadi Hackers itu gak enak 😮😮 Rumit banyak kerjaan, 😮😮",hackers enak rumit kerja,netral,rumit:0.6024; hackers:0.5433; enak:0.4934; kerja:0.3139
ulasan 1566,"Hahahha, ini lah negara konoha dimana hukum bisa di beli, yang punya kuasa akan di bela mati matian padahal jelas bersalah sedangkan yang hanya membela diri tapi berasal dari rakyat miskin malah di adili..... TIDAK PANTAS DI SEBUT OKNUM, KARNA KALIAN SALING MELENGKAPI UNTUK MENUTUPI KEBUSUKAN MASING MASING",hahahha negara konoha mana hukum beli kuasa bela mati mati salah bela asal rakyat miskin adil oknum lengkap tutup busuk,negatif,bela:0.4403; mati:0.4161; hahahha:0.2619; asal:0.2491; miskin:0.2330; kuasa:0.2247; adil:0.2247; lengkap:0.2181; busuk:0.2162; oknum:0.1925
ulasan 1567,Astaghfirullah,astaghfirullah,negatif,astaghfirullah:1.0000
ulasan 1568,apakah beliau yang membuat cheat point blank?😂😂😂 25:10,beliau cheat point blank,netral,blank:0.5637; point:0.5086; beliau:0.4634; cheat:0.4570
ulasan 1569,"dibayar mahal tapi ga bisa kerja, dan ga bisa dipecat. gimana negara ga hancur le?",bayar mahal kerja pecat negara hancur,positif,pecat:0.5101; hancur:0.4746; mahal:0.4746; bayar:0.3631; negara:0.2899; kerja:0.2711
ulasan 1570,Bjorka itu org dalam istana...,bjorka orang istana,netral,istana:0.8964; orang:0.3532; bjorka:0.2678
ulasan 1571,"Gue Aj yg Kurang Paham Cyber security , Ga percaya Semudah Itu polisi bisa Nangkap Bjorka wkwkwkwk",gue paham cyber security percaya mudah polisi nangkap bjorka wkwkwkwk,positif,wkwkwkwk:0.4262; security:0.4034; paham:0.3895; mudah:0.3307; cyber:0.3074; percaya:0.2998; nangkap:0.2834; gue:0.2621; polisi:0.1812; bjorka:0.1681
ulasan 1572,"Bjorka orang Singapura , dari pertama muncul , sudah ramai padahal di DW 🤭🤭",bjorka orang singapura muncul ramai dw,netral,dw:0.5476; singapura:0.5229; ramai:0.4918; muncul:0.3434; orang:0.2060; bjorka:0.1562
ulasan 1573,"Mestnya orang2 ini bisa membantu pemerintah, di Bareskrim, di Komdigi, di BIN, dll. Sayang sekali jika bekerja dengan swasta, apalagi dengan luar negeri.",mestnya orang bantu perintah bareskrim komdigi bin dll sayang swasta negeri,netral,mestnya:0.4121; bareskrim:0.3935; bin:0.3431; komdigi:0.3228; swasta:0.3167; sayang:0.3167; dll:0.2618; negeri:0.2538; bantu:0.2423; perintah:0.1925
ulasan 1574,"REFORMASI POLRI SECEPATNYA,,",reformasi polri cepat,netral,reformasi:0.6386; cepat:0.6200; polri:0.4559
ulasan 1575,Eleh berharap polisi nangkep tidak mungkin lah kan rakyat indo tau kinerja polisi bagaimana 🤣,eleh harap polisi nangkep rakyat indonesia tau kerja polisi,netral,eleh:0.5911; harap:0.3991; polisi:0.3635; rakyat:0.3120; kerja:0.2703; tau:0.2623; nangkep:0.2544; indonesia:0.2352
ulasan 1576,ini cerita kura kura balapan sama kelinci,cerita kura kura balap kelinci,netral,kura:0.7835; kelinci:0.4103; balap:0.3601; cerita:0.2968
ulasan 1577,Hahaha ga nyenggol polisi ga rame si,hahaha nyenggol polisi rame sih,netral,nyenggol:0.6344; rame:0.4973; hahaha:0.4753; sih:0.2822; polisi:0.2114
ulasan 1578,Tidak semudah itu paulo,mudah paulo,netral,paulo:0.8720; mudah:0.4894
ulasan 1579,"😮😮 Kelakuan polisi,, salah nangkep udah biasa 😅😅",laku polisi salah nangkep,negatif,laku:0.6541; salah:0.4857; nangkep:0.4718; polisi:0.3371
ulasan 1580,"Kalau ngehack Situng KPU percuma sih, kan hitung suaranya masih manual (ada formulir/dokumen yang bisa dilacak) makanya mainhya ngehack manual juga alias beli suara Ama petugas pencatat hehehe",ngehack situng kpu sih hitung suara manual formulirdokumen lacak mainhya ngehack manual alias beli suara tugas catat hehehe,netral,manual:0.4857; ngehack:0.3875; suara:0.3161; formulirdokumen:0.2543; mainhya:0.2543; situng:0.2347; hehehe:0.2284; catat:0.2151; hitung:0.2151; alias:0.1973
ulasan 1581,masukin perintah ke mesin automation mencari celah pintu masuk ke aplikasi.  40:31. Apalagi sekarang lagi tren automation AI.,pasuk perintah mesin automation cari celah pintu masuk aplikasi tren automation ai,negatif,automation:0.6010; tren:0.3346; mesin:0.3088; pintu:0.3005; pasuk:0.2786; ai:0.2679; celah:0.2421; aplikasi:0.2119; masuk:0.1897; cari:0.1672
ulasan 1582,"dugaan ku, nantinya akan ditersangkakan juga kasus terkait kebobolan PDN kominfo... sengaja mengaburkan pelaku aslinya... pelaku aslinya org2 kominfo sendiri utk mencari keuntungan",duga ku sangka kait bobol pdn kominfo sengaja abur laku asli laku asli orang kominfo cari untung,negatif,kominfo:0.4857; laku:0.3576; asli:0.3184; pdn:0.2997; abur:0.2997; kait:0.2283; duga:0.2229; sengaja:0.2168; sangka:0.2155; untung:0.2129
ulasan 1583,17:52 CATAT.,catat,netral,catat:1.0000
ulasan 1584,Biasa cari pencitraan . Bila cari simpati masyarakat dan pangkat . Demi keuntungan pribadi tapi merugikan .,cari citra cari simpati masyarakat pangkat untung pribadi rugi,negatif,cari:0.4636; simpati:0.4165; citra:0.3476; untung:0.3295; pangkat:0.3223; rugi:0.3207; pribadi:0.3191; masyarakat:0.2715
ulasan 1585,Berita bjorka ketangkap!!! Gue ngakak abis sampai perut sakit cuk😂😂 bjorkanya macam mabuk lem!,berita bjorka tangkap gue akak habis perut sakit cuk bjorkanya mabuk lem,negatif,cuk:0.3829; mabuk:0.3829; lem:0.3829; perut:0.3391; sakit:0.3174; bjorkanya:0.3054; habis:0.2610; akak:0.2547; berita:0.2282; gue:0.1784
ulasan 1586,SOROT KASUS PERTAMINA,sorot pertamina,netral,sorot:0.7369; pertamina:0.6760
ulasan 1587,maaf kalau salah tolong dikoreksi saya percaya hacker itu ada dan bisa membobol sistem dan database tapi maaf kalau memang bjorka itu mampu tolong lacak dan hack rekening para koruptor dan para para  oknum pengusaha nakal uangya dikirim ke rekening yayasan yg bergerak dibidang sosial masyarakat biar mungkin ada efek jera,maaf salah tolong koreksi percaya hacker bobol sistem database maaf bjorka tolong lacak hack rekening koruptor oknum usaha nakal uangya kirim rekening yayasan gerak bidang sosial masyarakat biar efek jera,negatif,rekening:0.3426; maaf:0.3232; tolong:0.2871; koreksi:0.2337; uangya:0.2337; yayasan:0.2337; jera:0.2337; nakal:0.2099; efek:0.1946; kirim:0.1894
ulasan 1588,Dipermalukan anak anak😂😂😂,malu anak anak,negatif,anak:0.8708; malu:0.4917
ulasan 1589,now we’re happy.,now were happy,positif,now:0.5860; were:0.5860; happy:0.5596
ulasan 1590,"Gimana kabar anak buahnya pulisi yg bikin laporan ke atasannya bahwa WFT itu ""Bjorka"" ya??.😂😂😂",kabar anak buah pulisi bikin lapor atas wft bjorka ya,netral,wft:0.4463; kabar:0.4022; pulisi:0.3891; buah:0.3741; atas:0.3231; lapor:0.2922; bikin:0.2414; anak:0.2114; ya:0.1929; bjorka:0.1333
ulasan 1591,"jadi inget kmrin yg katanya canggih ternyata di layar ada tulisan ""lorem ipsum"" 😂😂😂😂😂",kemarin canggih layar tulis lorem ipsum,netral,lorem:0.4652; ipsum:0.4652; tulis:0.4263; layar:0.4085; canggih:0.3452; kemarin:0.3152
ulasan 1592,"Bukan podcast, tpi kayak lebih cari informasi ni bapak bapak",podcast kayak cari informasi nih,negatif,informasi:0.5970; podcast:0.4424; nih:0.4065; cari:0.3917; kayak:0.3594
ulasan 1593,Polisi pengen  dianggap keren bs nangkep bjorka...padahal nangkap pencuri motor aja nggak mampu,polisi pengin anggap keren nangkep bjorkapadahal nangkap curi motor,negatif,bjorkapadahal:0.5143; curi:0.3825; anggap:0.3720; keren:0.3289; motor:0.3246; pengin:0.3196; nangkap:0.2473; nangkep:0.2213; polisi:0.1581
ulasan 1594,Kalau di ancam ya ngaku 😅😅😅 kan itu pointnya 😅😅😅😅,ancam ya aku point,netral,ancam:0.6082; point:0.5918; aku:0.4347; ya:0.3015
ulasan 1595,Kalau udah benar baru mau bantu gong sihh😅😅 sangat betul tu😅,bantu gong sih,netral,gong:0.7682; bantu:0.5249; sih:0.3665
ulasan 1596,Nih polisi random banget sih nangkep orang .... Salah tangkap Mulu heran 😂😂 dari pertama polisi bilang nangkep byorca aku udah ngakak parah sih trust issue gua gede banget sama polisi Konoha 😂😂😂,nih polisi random banget sih nangkep orang salah tangkap mulu heran polisi bilang nangkep byorca akak parah sih trust issue gua gede banget polisi konoha,negatif,trust:0.2970; banget:0.2888; byorca:0.2870; polisi:0.2869; nangkep:0.2677; issue:0.2589; sih:0.2554; random:0.2553; parah:0.2280; heran:0.2236
ulasan 1597,Polisi lulusan sma mana paham psikologi😂😂😂,polisi lulus paham psikologi,positif,psikologi:0.6957; lulus:0.4836; paham:0.4817; polisi:0.2240
ulasan 1598,noooh...,noooh,netral,noooh:1.0000
ulasan 1599,Mau komen pedas takut d tangkap😅,komen pedas takut tangkap,negatif,pedas:0.6741; komen:0.4954; takut:0.4791; tangkap:0.2656
ulasan 1600,😂😂😂😂 polisi mana bisa nangkap... Bisanya ngawur aj,polisi nangkap bisa ngawur,netral,ngawur:0.6897; bisa:0.5684; nangkap:0.3779; polisi:0.2416
ulasan 1601,wah berarti fufufafa itu bener dong 😅,fufufafa,netral,fufufafa:1.0000
ulasan 1602,Biasalah.. kalo aparat ada yg viral pasti buat pengalihan isu,biasa kalo aparat viral alih isu,negatif,biasa:0.5411; viral:0.4540; aparat:0.4314; isu:0.3502; alih:0.3446; kalo:0.2715
ulasan 1603,Bener luar biasa w sampai nonton sampai akhir,gue tonton,negatif,tonton:0.7819; gue:0.6234
ulasan 1604,Semakin kesini semakin kesana tuh si coklat si anaconda yang bikin geger eh piton sawah yang mereka tangkap,kesini kesana tuh sih coklat sih anaconda bikin geger eh piton sawah tangkap,negatif,anaconda:0.3782; piton:0.3782; geger:0.3490; kesana:0.3320; sih:0.3106; kesini:0.3028; sawah:0.2963; eh:0.2372; coklat:0.2280; tuh:0.2015
ulasan 1605,"Harusnya hacker² yg pinter gini layak di rekrut jadi anggota polri unit cyber...
Bisa bermanfaat tuh buat nyadap² pejabat biar gk korupsi",hacker pintar layak rekrut anggota polri unit cyber manfaat tuh nyadap jabat biar korupsi,negatif,nyadap:0.3981; unit:0.3674; layak:0.3367; manfaat:0.2961; anggota:0.2781; rekrut:0.2739; korupsi:0.2555; jabat:0.2280; tuh:0.2121; pintar:0.2108
