comment,case_folding,cleansing
"Pesulap botak buzzer tentara,, gak usah pansos... Cari muka kayak majikanmu...😂😂😂","pesulap botak buzzer tentara,, gak usah pansos... cari muka kayak majikanmu...😂😂😂",pesulap botak buzzer tentara gak usah pansos cari muka kayak majikanmu
Harus sekolah lagi tuh polisi,harus sekolah lagi tuh polisi,harus sekolah lagi tuh polisi
Om... takut bnget bermasalah dg polisi..,om... takut bnget bermasalah dg polisi..,om takut bnget bermasalah dg polisi
"semenjak bjorka viral, udah lebih dari 1kali polisi salah tangkep.
anah nya kok mereka kuat banget nahan malu nya😅","semenjak bjorka viral, udah lebih dari 1kali polisi salah tangkep.
anah nya kok mereka kuat banget nahan malu nya😅",semenjak bjorka viral udah lebih dari kali polisi salah tangkep anah nya kok mereka kuat banget nahan malu nya
"Urusan ciber sdm di polri masih terbatas dan kendala peraturan yg ada , banyak kasus2 itu mandek","urusan ciber sdm di polri masih terbatas dan kendala peraturan yg ada , banyak kasus2 itu mandek",urusan ciber sdm di polri masih terbatas dan kendala peraturan yg ada banyak kasus itu mandek
Klu tau kenapa gk bergerak. Bongkar dog,klu tau kenapa gk bergerak. bongkar dog,klu tau kenapa gk bergerak bongkar dog
"SAKING BODOHNYA,,BAHKAN PERKATAAN DEDY MENGATAKAN MISAL,DIA ITU ADALAH LU YA...ITU ADALAH PANCINGAN SEBENARNYA,JEBAKAN OMONGAN INI SEPERTI BERUSAHA MEMBEDAH SIAPA ITU HACKER DIA SEBENARNYA.TANPA DEDY SADARI SUDAH MASUK JEBAKAN HACKER,MEMPUBLIKASIKAN DENGAN RANAH YG KRITIS.BISA JADI TANDA AWAL KEHANCURAN","saking bodohnya,,bahkan perkataan dedy mengatakan misal,dia itu adalah lu ya...itu adalah pancingan sebenarnya,jebakan omongan ini seperti berusaha membedah siapa itu hacker dia sebenarnya.tanpa dedy sadari sudah masuk jebakan hacker,mempublikasikan dengan ranah yg kritis.bisa jadi tanda awal kehancuran",saking bodohnyabahkan perkataan dedy mengatakan misaldia itu adalah lu yaitu adalah pancingan sebenarnyajebakan omongan ini seperti berusaha membedah siapa itu hacker dia sebenarnyatanpa dedy sadari sudah masuk jebakan hackermempublikasikan dengan ranah yg kritisbisa jadi tanda awal kehancuran
😂😂😂😂😂😂polisiii,😂😂😂😂😂😂polisiii,polisiii
"Cuma kasihan yg ditangkap. 
Meskipun gak pantas dihukum tetapi bakal di rekayasa utk tetap dihukum. 😢😢","cuma kasihan yg ditangkap. 
meskipun gak pantas dihukum tetapi bakal di rekayasa utk tetap dihukum. 😢😢",cuma kasihan yg ditangkap meskipun gak pantas dihukum tetapi bakal di rekayasa utk tetap dihukum
"00:33:35 banyak sih saya punya hobi di programing, tapi malah bekerja sebagai social media advertiser","00:33:35 banyak sih saya punya hobi di programing, tapi malah bekerja sebagai social media advertiser",banyak sih saya punya hobi di programing tapi malah bekerja sebagai social media advertiser
JUDOL noh tangkepin mah polisi pea,judol noh tangkepin mah polisi pea,judol noh tangkepin mah polisi pea
Dia gak gimic lo beneran hapal lagunya gemesssss 🤏🏻🤣🤣,dia gak gimic lo beneran hapal lagunya gemesssss 🤏🏻🤣🤣,dia gak gimic lo beneran hapal lagunya gemesssss
halaah sok tau...,halaah sok tau...,halaah sok tau
"Nangkap silfester aja kga mampu, gimana nangkap hacker","nangkap silfester aja kga mampu, gimana nangkap hacker",nangkap silfester aja kga mampu gimana nangkap hacker
EMANG POLISI KITA POLISI PEEEAKKK,emang polisi kita polisi peeeakkk,emang polisi kita polisi peeeakkk
Ngobrol di game juga bisa om pb dulu bisa buat server buat room nah berdua disiti by one sambil chttan 😅,ngobrol di game juga bisa om pb dulu bisa buat server buat room nah berdua disiti by one sambil chttan 😅,ngobrol di game juga bisa om pb dulu bisa buat server buat room nah berdua disiti by one sambil chttan
"Kaya ga tau polusi prindavan aja , tau lah rekam jejak polusi prindavan suka ngasal asal tangkap 😂, biar di kata hebat 😅 nangkep bandar judol aja susah apa lagi nangkep hacker  yg hebat","kaya ga tau polusi prindavan aja , tau lah rekam jejak polusi prindavan suka ngasal asal tangkap 😂, biar di kata hebat 😅 nangkep bandar judol aja susah apa lagi nangkep hacker  yg hebat",kaya ga tau polusi prindavan aja tau lah rekam jejak polusi prindavan suka ngasal asal tangkap biar di kata hebat nangkep bandar judol aja susah apa lagi nangkep hacker yg hebat
Bjorka:I'm still alive Bitts!!!😈,bjorka:i'm still alive bitts!!!😈,bjorkaim still alive bitts
Malunya sampai 7 angkatan akademi,malunya sampai 7 angkatan akademi,malunya sampai angkatan akademi
Yu beli produk gudang garam biar kariawan nya selamat tanpa phk,yu beli produk gudang garam biar kariawan nya selamat tanpa phk,yu beli produk gudang garam biar kariawan nya selamat tanpa phk
Itu mah yg d tangkep bukan hacker tapi anak depo sejuta dapat saldo 5juta,itu mah yg d tangkep bukan hacker tapi anak depo sejuta dapat saldo 5juta,itu mah yg d tangkep bukan hacker tapi anak depo sejuta dapat saldo juta
"Malu dengernya ,ah tak simpan di hati aja,terlalu banyak aibku","malu dengernya ,ah tak simpan di hati aja,terlalu banyak aibku",malu dengernya ah tak simpan di hati ajaterlalu banyak aibku
Mentok mentoknya polisi pake dukun... 😂😂😂😂😂,mentok mentoknya polisi pake dukun... 😂😂😂😂😂,mentok mentoknya polisi pake dukun
Jangan gugurkan prestasi luar biasa polisi😅 yang berhasil nangkap hacker wifi tetangga 🤭🤭 naik jabatan sudah di depan mata..,jangan gugurkan prestasi luar biasa polisi😅 yang berhasil nangkap hacker wifi tetangga 🤭🤭 naik jabatan sudah di depan mata..,jangan gugurkan prestasi luar biasa polisi yang berhasil nangkap hacker wifi tetangga naik jabatan sudah di depan mata
gw suka nge-mod apk sendiri itu juga termasuk hacker kah?,gw suka nge-mod apk sendiri itu juga termasuk hacker kah?,gw suka ngemod apk sendiri itu juga termasuk hacker kah
Love you BJORKA.... Love you...,love you bjorka.... love you...,love you bjorka love you
"Nangkap reseller gak bisa""😂","nangkap reseller gak bisa""😂",nangkap reseller gak bisa
"Hacker"" di pekerjakn di pmerintah buat nangkepin para koruptor, orang"" zolim dsb . Di hack WA para pjabat tambang dsb","hacker"" di pekerjakn di pmerintah buat nangkepin para koruptor, orang"" zolim dsb . di hack wa para pjabat tambang dsb",hacker di pekerjakn di pmerintah buat nangkepin para koruptor orang zolim dsb di hack wa para pjabat tambang dsb
"fix, Si dedi takut sama org ini 😂","fix, si dedi takut sama org ini 😂",fix si dedi takut sama org ini
"Bener banget.. kalau yang masalah kebocoran data dari perusahaan swasta bisa dihukum, tp kalo dari pemerintah ga ada hukuman apa2. Padahal data terbesar ada di pemerintahan😅😅 ohhh konoha","bener banget.. kalau yang masalah kebocoran data dari perusahaan swasta bisa dihukum, tp kalo dari pemerintah ga ada hukuman apa2. padahal data terbesar ada di pemerintahan😅😅 ohhh konoha",bener banget kalau yang masalah kebocoran data dari perusahaan swasta bisa dihukum tp kalo dari pemerintah ga ada hukuman apa padahal data terbesar ada di pemerintahan ohhh konoha
Polisi memang harus dibubarkan atau reformasi total dimulai dari sdm nya. Kasus mudah akun fufufafa saja gak kebongkar dan msh byk lainnya kalo mereka sudah 'bisa' di audit dan diperiksa,polisi memang harus dibubarkan atau reformasi total dimulai dari sdm nya. kasus mudah akun fufufafa saja gak kebongkar dan msh byk lainnya kalo mereka sudah 'bisa' di audit dan diperiksa,polisi memang harus dibubarkan atau reformasi total dimulai dari sdm nya kasus mudah akun fufufafa saja gak kebongkar dan msh byk lainnya kalo mereka sudah bisa di audit dan diperiksa
"Sama kayak polisi nangkap ""ketua anarko""😂","sama kayak polisi nangkap ""ketua anarko""😂",sama kayak polisi nangkap ketua anarko
Kocak juga ya pak pol.klu gitu para pol bisa ikut Stan up komedi😂😂😂,kocak juga ya pak pol.klu gitu para pol bisa ikut stan up komedi😂😂😂,kocak juga ya pak polklu gitu para pol bisa ikut stan up komedi
"Cerita menit 29:00, gw berkesimpulan, harus pilih2 siapa yang harus kita bantu..? 😅","cerita menit 29:00, gw berkesimpulan, harus pilih2 siapa yang harus kita bantu..? 😅",cerita menit gw berkesimpulan harus pilih siapa yang harus kita bantu
denger tuh semua anak muda ini mau bergabung klo polisi di indonesia sudah pada bersih kerja nya.😂😅😅,denger tuh semua anak muda ini mau bergabung klo polisi di indonesia sudah pada bersih kerja nya.😂😅😅,denger tuh semua anak muda ini mau bergabung klo polisi di indonesia sudah pada bersih kerja nya
Bikin malu aja,bikin malu aja,bikin malu aja
"Om ded kpn ni bahas yg sangat ramai mengenai ijazah pslsu presiden ke 7dan ijazah anaknya...yg sdh ada pembuktian oleh Dr Roy suryo cs  terindeksi 9,99% paslu","om ded kpn ni bahas yg sangat ramai mengenai ijazah pslsu presiden ke 7dan ijazah anaknya...yg sdh ada pembuktian oleh dr roy suryo cs  terindeksi 9,99% paslu",om ded kpn ni bahas yg sangat ramai mengenai ijazah pslsu presiden ke dan ijazah anaknyayg sdh ada pembuktian oleh dr roy suryo cs terindeksi paslu
Sepertinya bjorka ini akun nya di pegang banyak orang atau lebih dari satu orang,sepertinya bjorka ini akun nya di pegang banyak orang atau lebih dari satu orang,sepertinya bjorka ini akun nya di pegang banyak orang atau lebih dari satu orang
Kemapuan Untuk blokir live tiktok aja cepet. Urusin Keroco boirka aja di drama2in di panjang2in,kemapuan untuk blokir live tiktok aja cepet. urusin keroco boirka aja di drama2in di panjang2in,kemapuan untuk blokir live tiktok aja cepet urusin keroco boirka aja di dramain di panjangin
"Emg dasarnya pemerintah konoha tdk mau ada yg pintar, skalinya ada malah di tangkap atau di kambing hitamkan,","emg dasarnya pemerintah konoha tdk mau ada yg pintar, skalinya ada malah di tangkap atau di kambing hitamkan,",emg dasarnya pemerintah konoha tdk mau ada yg pintar skalinya ada malah di tangkap atau di kambing hitamkan
Bjorka nonton ini nih,bjorka nonton ini nih,bjorka nonton ini nih
"Ilmu hacker gratis di mana,?pengen belajar nih buat ikut jaman teknologi dan antisipasi jaga diri sendiri,,","ilmu hacker gratis di mana,?pengen belajar nih buat ikut jaman teknologi dan antisipasi jaga diri sendiri,,",ilmu hacker gratis di manapengen belajar nih buat ikut jaman teknologi dan antisipasi jaga diri sendiri
teknik pembalik kutukan: merah❤,teknik pembalik kutukan: merah❤,teknik pembalik kutukan merah
POLIZI T0L0L,polizi t0l0l,polizi tll
"Biasanya pembuat kejahatan pasti menyamar dlm berbagai wujud... termasuk jd anak punk..
Bisa jadi bjorka itu berubah jd berbagai wujud, pengecut... 
Polisi jangan terkecoh..","biasanya pembuat kejahatan pasti menyamar dlm berbagai wujud... termasuk jd anak punk..
bisa jadi bjorka itu berubah jd berbagai wujud, pengecut... 
polisi jangan terkecoh..",biasanya pembuat kejahatan pasti menyamar dlm berbagai wujud termasuk jd anak punk bisa jadi bjorka itu berubah jd berbagai wujud pengecut polisi jangan terkecoh
Jago cuma nangkep Spion😂😂😂😂sok nangkep Bjorka.. Mengtololl😂😂😂,jago cuma nangkep spion😂😂😂😂sok nangkep bjorka.. mengtololl😂😂😂,jago cuma nangkep spionsok nangkep bjorka mengtololl
masih percaya polisi??,masih percaya polisi??,masih percaya polisi
"YG SEANGKATAN IMAM MAHDI MANA NIH WKWKWKW, BTW OM GW PERNAH DIANGKUT, DIJADIKAN PELIHARAAN NJIR MEREKA YG CARIKAN BAHAN GW YG EKSE,HASIL 80% BUAT ORANG PRAMUKA 20% NYA BUAT GW WKWKWKWKW ,SYUKUR SKRNG UDA HIDUP NORMAL 
TAPI MASIH SERING DI CHAT IN WKWKWKW SURUH BALIK/SURUH CARI KEPALA SAMPAI SKRNG WKWKWKWKWKKW","yg seangkatan imam mahdi mana nih wkwkwkw, btw om gw pernah diangkut, dijadikan peliharaan njir mereka yg carikan bahan gw yg ekse,hasil 80% buat orang pramuka 20% nya buat gw wkwkwkwkw ,syukur skrng uda hidup normal 
tapi masih sering di chat in wkwkwkw suruh balik/suruh cari kepala sampai skrng wkwkwkwkwkkw",yg seangkatan imam mahdi mana nih wkwkwkw btw om gw pernah diangkut dijadikan peliharaan njir mereka yg carikan bahan gw yg eksehasil buat orang pramuka nya buat gw wkwkwkwkw syukur skrng uda hidup normal tapi masih sering di chat in wkwkwkw suruh baliksuruh cari kepala sampai skrng wkwkwkwkwkkw
Udah pangkas rambut anak anak kominitas hacker heckeran 😊,udah pangkas rambut anak anak kominitas hacker heckeran 😊,udah pangkas rambut anak anak kominitas hacker heckeran
"Cyber polisi gampang aslinya klw nangkap bjorka asli dan bandar judol tp mereka semua bermain ya gak bakalan di tangkap,yg di tangkap pemain judol dan bjorka palsu","cyber polisi gampang aslinya klw nangkap bjorka asli dan bandar judol tp mereka semua bermain ya gak bakalan di tangkap,yg di tangkap pemain judol dan bjorka palsu",cyber polisi gampang aslinya klw nangkap bjorka asli dan bandar judol tp mereka semua bermain ya gak bakalan di tangkapyg di tangkap pemain judol dan bjorka palsu
Listyo Sigit di bikin mlu ama byorka😂,listyo sigit di bikin mlu ama byorka😂,listyo sigit di bikin mlu ama byorka
"gue seneng aja sama obrolan nya 
masalah polisi nangkep hacker mah gak peduli gue, itu mah polisi lagi dapet proyek an trus klien nya minta hasil tangkapan nya di share di media","gue seneng aja sama obrolan nya 
masalah polisi nangkep hacker mah gak peduli gue, itu mah polisi lagi dapet proyek an trus klien nya minta hasil tangkapan nya di share di media",gue seneng aja sama obrolan nya masalah polisi nangkep hacker mah gak peduli gue itu mah polisi lagi dapet proyek an trus klien nya minta hasil tangkapan nya di share di media
Kenapa polisi gak ada fikiran orang kyak bjorka di rangkul saja buat ngamanin cyber negara.soal gaji bisa di atur lah ribuan triliun saja ada buat di korup 😂😂😂,kenapa polisi gak ada fikiran orang kyak bjorka di rangkul saja buat ngamanin cyber negara.soal gaji bisa di atur lah ribuan triliun saja ada buat di korup 😂😂😂,kenapa polisi gak ada fikiran orang kyak bjorka di rangkul saja buat ngamanin cyber negarasoal gaji bisa di atur lah ribuan triliun saja ada buat di korup
RUSAK INDONESIA,rusak indonesia,rusak indonesia
"BJORKA
B=ANDUNG
J=AKARTA
OR
K=ARAWANG
🎉🎉🎉🎉","bjorka
b=andung
j=akarta
or
k=arawang
🎉🎉🎉🎉",bjorka bandung jakarta or karawang
Ouh cybermaps sereceh itu wkwkwk 😂,ouh cybermaps sereceh itu wkwkwk 😂,ouh cybermaps sereceh itu wkwkwk
"UDAH GAK HERAN AMA KELAKUAN POLISI,APAPUN KASUSNYA YANG PENTING ADA ORANG BUAT DI WAWANCARA,GAK PEDULI PELAKU ASLI😂😂","udah gak heran ama kelakuan polisi,apapun kasusnya yang penting ada orang buat di wawancara,gak peduli pelaku asli😂😂",udah gak heran ama kelakuan polisiapapun kasusnya yang penting ada orang buat di wawancaragak peduli pelaku asli
Punya institusi malu2in banget ya alloh,punya institusi malu2in banget ya alloh,punya institusi maluin banget ya alloh
"jangankan lo yang hacker bang, gue aja yang awam ga percaya kalo yg di tangkep itu bjorka.","jangankan lo yang hacker bang, gue aja yang awam ga percaya kalo yg di tangkep itu bjorka.",jangankan lo yang hacker bang gue aja yang awam ga percaya kalo yg di tangkep itu bjorka
Yang cari loker tambang Follow me nanti lanjut caht pribadi,yang cari loker tambang follow me nanti lanjut caht pribadi,yang cari loker tambang follow me nanti lanjut caht pribadi
loe blg bjorka yg ditangkep polisi itu anak punk jgn ngejek polisi loe bg!loe pikir polisi² yg nangkep itu lawak² apa hahaha   tp stlh sy pikir loe bnr yg diduga bjorka yg ditangkep polisi itu anak punk kwkwkw.,loe blg bjorka yg ditangkep polisi itu anak punk jgn ngejek polisi loe bg!loe pikir polisi² yg nangkep itu lawak² apa hahaha   tp stlh sy pikir loe bnr yg diduga bjorka yg ditangkep polisi itu anak punk kwkwkw.,loe blg bjorka yg ditangkep polisi itu anak punk jgn ngejek polisi loe bgloe pikir polisi yg nangkep itu lawak apa hahaha tp stlh sy pikir loe bnr yg diduga bjorka yg ditangkep polisi itu anak punk kwkwkw
"Hampir BANGGA DENGAN POLRI,..... saat kondisi tidak dipercaya masyarakat.

Semoga POLRI REAL BISA NANGKAP HACKER SUNGGUHAN.","hampir bangga dengan polri,..... saat kondisi tidak dipercaya masyarakat.

semoga polri real bisa nangkap hacker sungguhan.",hampir bangga dengan polri saat kondisi tidak dipercaya masyarakat semoga polri real bisa nangkap hacker sungguhan
gatau malu ya sedangkan bjorkanya aja masih bisa apdet medsos😂,gatau malu ya sedangkan bjorkanya aja masih bisa apdet medsos😂,gatau malu ya sedangkan bjorkanya aja masih bisa apdet medsos
"Jangan pernah takut lagi rakyat indonesia melawan pejabat2 korup   ,,,, harus ada institusi rahasia yg hanya presiden yg tau untuk membasmi para koruptor., langsung di karungin aja sprti jaman soeharto","jangan pernah takut lagi rakyat indonesia melawan pejabat2 korup   ,,,, harus ada institusi rahasia yg hanya presiden yg tau untuk membasmi para koruptor., langsung di karungin aja sprti jaman soeharto",jangan pernah takut lagi rakyat indonesia melawan pejabat korup harus ada institusi rahasia yg hanya presiden yg tau untuk membasmi para koruptor langsung di karungin aja sprti jaman soeharto
